"NO","営業所名称","営業の種類","区","営業所所在地","緯度","経度","営業者名","許可番号","許可満了日","申請区分"
25270018,"ノミマヂン","飲食店営業","平野","長吉長原４丁目１８番８号",34.601594,135.57308,"宮ケ中　圭一郎","大　保環第2961号","令和3年5月31日",NA
90008382,"じゅんじゅん","飲食店営業","平野","長吉長原４丁目１８番８号",34.601594,135.57308,"久保山　順一","大 保食第18-10327号","令和6年10月31日","新規"
25190293,"ダウンタウン","飲食店営業","平野","長吉長原４丁目１８番９号",34.601502,135.573044,"吉田　利基","大　保環第19577号","令和2年2月29日",NA
25270155,"パチンコタイヨー　平野店　店内（ＣＣＷＮ受託）","喫茶店営業","平野","長吉長原４丁目１８番１０号",34.601358,135.573071,"株式会社　アペックス西日本","大　保環第16492号","令和2年12月27日",NA
25070221,"かごの屋　長吉長原店","飲食店営業","平野","長吉長原４丁目１９番７号",34.600241,135.57338,"株式会社ＫＲホールディングス","大　保環第15833号","令和2年11月30日",NA
25210163,"まいどおおきに　長吉六反食堂","飲食店営業","平野","長吉六反１丁目２番１６号",34.610482,135.579993,"杉本産商株式会社","大　保環第13903号","令和3年10月31日",NA
25180124,"くらら","飲食店営業","平野","長吉六反１丁目２番４７号",34.610482,135.579993,"笹野　博","大 保食第18-9527号","令和6年8月31日","更新"
25260020,"健","飲食店営業","平野","長吉六反１丁目３番３号",34.611792,135.58034,"脇　節子","大　保環第2375号","令和2年4月30日",NA
25090073,"いりべ酒店","飲食店営業","平野","長吉六反１丁目３番６号",34.611792,135.580668,"入部　重敏","大　保環第751号","令和4年3月31日",NA
25002017,"サンライズ","飲食店営業","平野","長吉六反１丁目３番２０号",34.611781,135.58216,"西川　稔春","大 保食第19-10478号","令和7年11月30日","更新"
90003799,"オアシス寿安厨房","飲食店営業","平野","長吉六反１丁目５番７号",34.610154,135.580663,"株式会社パーム","大 保食第18-652号","令和6年4月30日","新規"
25200002,"（財）大阪市教育振興公社　クラフトパーク自販機コーナー","喫茶店営業","平野","長吉六反１丁目８番４４号",34.609751,135.581668,"株式会社　アペックス西日本","大 保食第18-1703号","令和5年4月30日","更新"
25160309,"のんのん","飲食店営業","平野","長吉六反２丁目１番７号",34.608751,135.578763,"青木　利彰","大　保環第490号","令和5年3月31日",NA
25220347,"フォーユー平野","飲食店営業","平野","長吉六反２丁目２番８９号",34.608271,135.578221,"東住吉中央マルタマフーズ株式会社","大　保環第21281号","令和5年2月28日",NA
25270009,"ローソン　長吉六反二丁目店","飲食店営業","平野","長吉六反２丁目３番１５号",34.606457,135.57863,"株式会社　ティオコーポレーション","大　保環第2242号","令和3年4月30日",NA
25130124,"たこやき　千鶴","飲食店営業","平野","長吉六反２丁目３番４９号",34.606774,135.578307,"日比　初恵","大 保食第19-8123号","令和7年9月30日","更新"
25270139,"カラオケ　えくぼ","飲食店営業","平野","長吉六反２丁目４番１０号",34.606293,135.578777,"水谷　二美子","大　保環第14403号","令和3年11月30日",NA
25002012,"加津","飲食店営業","平野","長吉六反２丁目４番１７号",34.605982,135.578721,"鐘田　和子","大　保環第18817号","令和4年2月28日",NA
25250140,"鳥若丸","飲食店営業","平野","長吉六反２丁目５番１１号",34.605935,135.579168,"藤塚　武","大 保食第19-11910号","令和7年11月30日","更新"
25280232,"カラオケ喫茶","飲食店営業","平野","長吉六反２丁目５番１３号",34.605949,135.578935,"森本　晃司","大　保環第21012号","令和5年2月28日",NA
25190310,"㈱彩催","飲食店営業","平野","長吉六反２丁目６番７号",34.606496,135.579579,"株式会社　彩催","大 保食第19-16442号","令和8年2月28日","更新"
25002028,"ひらの","飲食店営業","平野","長吉六反２丁目６番１０号",34.606415,135.57976,"平野　外喜雄","大　保環第9448号","令和2年9月30日",NA
